,Tweet
461,"Faridabad SOS
Need Blood Type   Opositive
At  Sarvodaya
Blood Component  Plasma of COVID19 recovered patient
Number of Units  2
Primary Number  9911062228
Via raktnssdtu
BloodMatters
BJYMCares DCFaridabad AbvpFaridabad"
462,Covid19 Ce matin sur BelRTL FrankVandenbroucke a indiqu quil y avait encore eu plus de 1300 clusters sur les lieux de travail la dernire semaine Il encourage dc les entreprises  commander gratuitement des testsrapides pr leur personnel qui ne sait pas tl travailler
463,SharpieDj Loreign83 All those folk a few months go holding NewZealand and Arden up as great examples for the response to COVID19 are hopefully reconsidering their views freedom CHOICE
464,profmirya Love it Today in DC its a free beer   GetVaccinatedDC COVID19
465,rsilvdc The biggest pandemic mistake is less about the IP and more about the penny pinching  throw money at the problem pragmatic reflections on the moral imperative amp self interest of internationalsolidarity amp socialregionalism in  COVID19Vaccine debate amp beyond CGDev
466,"I request Hon cmohry Sh mlkhattar Ji n DCGurugram to make arrangements for vaccination as Drive in People shud come in car in a row n take a shot of vaccine 
DriveInn VaccineFor18Plus VaccineForAll VaccinesWork vaccinationindia  COVID19 COVIDEmergency2021"
467,"With COVID19 back with a vengeance we need to put together all our efforts again as a community With DCGurugram leading the Covid Relief Operations again we have started a first of its kind techenabled endtoend service for Covid19 patients

14"
468,"Respected DCDharwad sir can we please have a dedicated online protal link Spreadsheet for Dharwad district with realtime updates on availability of Hospital Beds Ventilators Oxygen and critical medicines for Covid19 

JoshiPralhad JagadishShettar BelladArvind DHFWKA"
469,ZombieLand21 thedoctorxxx Sounds like playing Russian Roulette with the population vaccine
470,smfdc Omero79 Ok ma il COVID19 si cura Il vaccino no se proprio ti vuoi vaccinare  devi fare lanamnesi ed una cura preventiva di 10 gg prima e dopo se vuoi evitare effetti avversi immediati  I medici onesti lo sanno e lo dicono
471,"UPDATE  Kamrup Metro DC Biswajit Pegu to address a press meet at 5 pm on May 5

Guwahati Assam COVID19"
472,VicturaParkDC PoliticsBrewing MayorBowser kencen SolaceBrewing The power of localbeer Lets get rid of COVID19 Great job DC and SolaceBrewing craftbeer guildedforthecause
473,"suneelwattal HaryanaTweets NHMHARYANA dramaticscotch YBISL DCFaridabad DrSubhasree dpsisi cmohry Dchautala diprogurugram1 Theupdater honeygupta CoronaUpdates9 DharamvirNews BollyNumbers RajKVerma4 JKinformation How about a VIRTUAL INTERFAITH PRAYER MEET  Same time heads of different religions pray together and send vibes of healing and love along with asking people to go for vaccination and following SOPs
CovidSOSIndia"
474,Two Americas The WaPo ranking shows that all 21 states where the highest  of adults have received at least one vaccine shot were won by Biden plus DC All 17 wlowest  were won by Trump except GA controlled by GOP Gov amp leg
475,"Gurugram SOS
Need Blood Type   Opositive
At  Sunrise hospital
Blood Component  Need Plasma from Ove COVID19 recovered patient
Number of Units  2
Primary Number  8287164011
Via raktnssdtu
BloodMatters
BJYMCares DCGurugram"
476,"Faridabad SOS
Need Blood Type   Any group
At  AIMS
Blood Component  Need Plasma from Any COVID19 recovered patient
Number of Units  2
Primary Number  8076620041
Via raktnssdtu
BloodMatters
BJYMCares DCFaridabad"
477,Starting to reengage with society but where to start After 15 years a COVID19 haircut is no longer the priority This is who I am now
478,"                                    

COVID19 coronavirus 

JharkhandCMO HemantSorenJMM kksoan  DCRanchi NHMJHARKHAND CovidIndiaSeva"
479,"Covid 19 si procede a passo Duomo

Davide Conigliaro Rabbiterdc

3maggio scudetto campionato inter PiazzaDuomo covid19"
480,"Quale modo migliore per festeggiare l Inter per lo scudetto19 se non celebrando il Covid19

Rabbiter"
481,Still got heavyfoggy head issues watery eyes after my 2nd AZ COVID19 jab 2 weeks ago  2nd Yellow Card raised
482,"Ranchi SOS
Need Blood Type   Opositive
At  Shree Jagannath
Blood Component  Need Ove blood plasma from Covid19 recovered patient
Number of Units  2
Primary Number  8847220701
Via rajeevr0202
BloodMatters
BJYMCares ranchipolice RanchiABVP DCRanchi"
483,"Faridabad
Need Blood Type   ABpositive
At  Sarvodaya Hospital
Blood Component  Need Plasma from ABve Covid19 recovered patient
Number of Units  2
Primary Number  9873463482
Via BloodDonorsIn
BloodMatters
BJYMCares  DCFaridabad"
484,"Ranchi SOS
Need Blood Type   Bpositive
At  Orchid
Blood Component Plasma of COVID19 recovered patient
Number of Units  2
Primary Number  7749994626
Secondary Number  7004549517
Via amandee75312008
BloodMatters
BJYMCares SOSIYC abvpranchi DCRanchi ranchipolice"
485,"Faridabad
Need Blood Type   Any group
At  ESIC Hospital
Blood Component  Plasma of any COVID19 recovered patient
Number of Units  2
Primary Number  9109846652
Via SailathaDarur
BloodMatters
BJYMCares SOSIYC DCFaridabad AbvpFaridabad BJYM4Faridabad"
486,"Ranchi
Need Blood Type   Opositive
At  Pulse Hospital
Blood Component  Need Plasma from Ove COVID19 recovered patient
Number of Units 2
Primary No 9431191446
Via gauravbagroy
BloodMatters
BJYMCares SOSIYC DCRanchi ranchipolice BJYMinJH RanchiABVP abvpranchi"
487,"Under supervision of DC Baramulla Bhupind68518073 ji the following Helpline Numbers of Doctors 78893923187889534245 will be available 247 for COVID19 Patients at home isolation in emergency fahimbihaqi
bhatray DCBaramulla"
488,"ManageCovid

Its natural to experience extreme emotions during these times Dont hesitate to reach out to a therapistfriend anyone you feel can help you cope 

coronavirus COVID19 COVID19India 

shahfaesal sanjayraina drharshvardhan DCGurugram DeependerSHooda"
489,"Under supervision of DC Baramulla Bhupind68518073 sir 
the following Helpline Numbers of Doctors are 78893923187889534245 They will be available 247 for COVID19 Patients at home isolation in emergency fahimbihaqi
sir bhatray sir DCBaramulla 
Please Retweet and amplify"
490,AmanatKhullar inayatskakar jahnavisen jeevikashiv HemkuntFdn CharityBeds maliniaisola moulshrimohan DelhiVsCorona tehseenp Spoke to DCGurugram Hell work out something But I was told that during todays serious Pandemic every hospital has a social responsibility to admit COVID19 patients Hospitals which have larger number of Covid patients naturally get higher priority due to higher O2 demand
491,"ManageCovid

Focus on recovery graph and numbers more than the infecteddead count Positive thoughts are an asset and the negative ones may seem like a liability

COVID19 IndiaFightsCorona 
shahfaesal hvgoenka drharshvardhan DCGurugram mlkhattar ArvindKejriwal"
492,"With all the appreciation for your efforts in tackling COVID19  requesting Gurugram District Admin to ensure that CKBirla Hospital in Sector 51 has regular supply of Oxygen Cylinders 
DCGurugram DistAdminGgm diprogurugram1 cdgurugram gurgaonpolice MunCorpGurugram"
493,"COVID19   UCHC         DMO  

DCRanchi     

   24     

DM  2005   56       

Ranchi Corona 

JharkhandCMO WeAreRanchi"
494,DistAdminGgm better bed management in hospitals enabled 213 COVID19 patients to get beds in hospitals in a day as 184 were discharged after being treated DCGurugram yashgarg2020 VPSconnect MunCorpGurugram gurgaonpolice PTI DDNewslive cmohry DiprHaryana mlkhattar
495,"COVID19 

Some Standalone Shops Public Transport With 50 Capacity To Be Allowed During Lockdown In Srinagar  DC Srinagar"
496,"SupPolicia portavozsup A3Noticias Esto queridos compaeros es SURREALISTA

Un AUTO del TSJC tras la denuncia de jucilnacional y JupolNacional donde insta al govern de Catalua a vacunar contra la COVID19 a Policas y Guardias Civiles y vosotros metiendo el cazo 🤦‍️🥳

EquiparacionYA"
497,"ManageCovid

Please comply if anyone requests you to pull up your masks be it your building guards neighbours or a stranger on the road They mean well

India coronavirus COVID19
DCGurugram deespeak DianaPenty aditiraohydari fayedsouza"
498,"Jharkhand   ranchipolice  SSP                           

JharkhandCMO JharkhandPolice DCRanchi WeAreRanchi newsranchi 

COVID19"
499,"ManageCovid

Please reduce consumption of non essential supplies thereby reducing your exposure to delivery personnel and product packaging 

shahfaesal Traluk DCGurugram MattLaemon DhoopAshwini TinyDhillon sanjayraina 

  COVID19 IndiaFightsCOVID19"
